treatment,time_h,repeat_column_index,value,unit,replicate_definition,source_sheet,source_cell
Untreated control,1,1,500000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,B2
Untreated control,1,2,39000000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,C2
Untreated control,1,3,1000000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,D2
Lolamicin (4X MIC),1,1,530000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,E2
Lolamicin (4X MIC),1,2,860000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,F2
Lolamicin (4X MIC),1,3,230000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,G2
Ciprofloxacin (4X MIC),1,1,520000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,H2
Ciprofloxacin (4X MIC),1,2,1600000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,I2
Ciprofloxacin (4X MIC),1,3,190000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,J2
Untreated control,2,1,800000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,B3
Untreated control,2,2,75000000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,C3
Untreated control,2,3,2500000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,D3
Lolamicin (4X MIC),2,1,6000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,E3
Lolamicin (4X MIC),2,2,18000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,F3
Lolamicin (4X MIC),2,3,51000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,G3
Ciprofloxacin (4X MIC),2,1,78000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,H3
Ciprofloxacin (4X MIC),2,2,66000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,I3
Ciprofloxacin (4X MIC),2,3,82000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,J3
Untreated control,4,1,12000000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,B4
Untreated control,4,2,960000000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,C4
Untreated control,4,3,10000000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,D4
Lolamicin (4X MIC),4,1,300,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,E4
Lolamicin (4X MIC),4,2,3000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,F4
Lolamicin (4X MIC),4,3,400,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,G4
Ciprofloxacin (4X MIC),4,1,700,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,H4
Ciprofloxacin (4X MIC),4,2,2400,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,I4
Ciprofloxacin (4X MIC),4,3,200,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,J4
Untreated control,8,1,670000000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,B5
Untreated control,8,2,3500000000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,C5
Untreated control,8,3,1000000000,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,D5
Lolamicin (4X MIC),8,1,200,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,E5
Lolamicin (4X MIC),8,2,5500,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,F5
Lolamicin (4X MIC),8,3,100,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,G5
Ciprofloxacin (4X MIC),8,1,650,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,H5
Ciprofloxacin (4X MIC),8,2,1100,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,I5
Ciprofloxacin (4X MIC),8,3,300,CFU/mL,biological triplicate per figure legend,ED Fig. 3a,J5
