molecule,glucose_mM,concentration_label_original,concentration_M,technical_repeat_row,value,unit,source_sheet,source_cell
NNC2215,3,10^(-13),1e-13,1,478,CPM,Figure 3a,B9
NNC2215,3,10^(-11.6416),2.282443312173501e-12,1,420,CPM,Figure 3a,C9
NNC2215,3,10^(-10.8634),1.3696197186808022e-11,1,449,CPM,Figure 3a,D9
NNC2215,3,10^(-10.0853),8.216748609764339e-11,1,392,CPM,Figure 3a,E9
NNC2215,3,10^(-9.3071),4.930602595627944e-10,1,259,CPM,Figure 3a,F9
NNC2215,3,10^(-8.52895),2.9583530399266677e-09,1,137,CPM,Figure 3a,G9
NNC2215,3,10^(-7.7508),1.7750067135006548e-08,1,48,CPM,Figure 3a,H9
NNC2215,3,10^(-6.97265),1.0650009618360135e-07,1,39,CPM,Figure 3a,I9
NNC2215,3,10^(-13),1e-13,2,464,CPM,Figure 3a,B10
NNC2215,3,10^(-11.6416),2.282443312173501e-12,2,456,CPM,Figure 3a,C10
NNC2215,3,10^(-10.8634),1.3696197186808022e-11,2,453,CPM,Figure 3a,D10
NNC2215,3,10^(-10.0853),8.216748609764339e-11,2,398,CPM,Figure 3a,E10
NNC2215,3,10^(-9.3071),4.930602595627944e-10,2,248,CPM,Figure 3a,F10
NNC2215,3,10^(-8.52895),2.9583530399266677e-09,2,118,CPM,Figure 3a,G10
NNC2215,3,10^(-7.7508),1.7750067135006548e-08,2,65,CPM,Figure 3a,H10
NNC2215,3,10^(-6.97265),1.0650009618360135e-07,2,41,CPM,Figure 3a,I10
NNC2215,3,10^(-13),1e-13,3,455,CPM,Figure 3a,B11
NNC2215,3,10^(-11.6416),2.282443312173501e-12,3,449,CPM,Figure 3a,C11
NNC2215,3,10^(-10.8634),1.3696197186808022e-11,3,424,CPM,Figure 3a,D11
NNC2215,3,10^(-10.0853),8.216748609764339e-11,3,408,CPM,Figure 3a,E11
NNC2215,3,10^(-9.3071),4.930602595627944e-10,3,267,CPM,Figure 3a,F11
NNC2215,3,10^(-8.52895),2.9583530399266677e-09,3,139,CPM,Figure 3a,G11
NNC2215,3,10^(-7.7508),1.7750067135006548e-08,3,68,CPM,Figure 3a,H11
NNC2215,3,10^(-6.97265),1.0650009618360135e-07,3,42,CPM,Figure 3a,I11
NNC2215,20,10^(-13),1e-13,1,460,CPM,Figure 3a,B21
NNC2215,20,10^(-11.6416),2.282443312173501e-12,1,444,CPM,Figure 3a,C21
NNC2215,20,10^(-10.8634),1.3696197186808022e-11,1,406,CPM,Figure 3a,D21
NNC2215,20,10^(-10.0853),8.216748609764339e-11,1,306,CPM,Figure 3a,E21
NNC2215,20,10^(-9.3071),4.930602595627944e-10,1,159,CPM,Figure 3a,F21
NNC2215,20,10^(-8.52895),2.9583530399266677e-09,1,85,CPM,Figure 3a,G21
NNC2215,20,10^(-7.7508),1.7750067135006548e-08,1,50,CPM,Figure 3a,H21
NNC2215,20,10^(-6.97265),1.0650009618360135e-07,1,34,CPM,Figure 3a,I21
NNC2215,20,10^(-13),1e-13,2,450,CPM,Figure 3a,B22
NNC2215,20,10^(-11.6416),2.282443312173501e-12,2,495,CPM,Figure 3a,C22
NNC2215,20,10^(-10.8634),1.3696197186808022e-11,2,419,CPM,Figure 3a,D22
NNC2215,20,10^(-10.0853),8.216748609764339e-11,2,302,CPM,Figure 3a,E22
NNC2215,20,10^(-9.3071),4.930602595627944e-10,2,169,CPM,Figure 3a,F22
NNC2215,20,10^(-8.52895),2.9583530399266677e-09,2,75,CPM,Figure 3a,G22
NNC2215,20,10^(-7.7508),1.7750067135006548e-08,2,48,CPM,Figure 3a,H22
NNC2215,20,10^(-6.97265),1.0650009618360135e-07,2,42,CPM,Figure 3a,I22
NNC2215,20,10^(-13),1e-13,3,445,CPM,Figure 3a,B23
NNC2215,20,10^(-11.6416),2.282443312173501e-12,3,429,CPM,Figure 3a,C23
NNC2215,20,10^(-10.8634),1.3696197186808022e-11,3,406,CPM,Figure 3a,D23
NNC2215,20,10^(-10.0853),8.216748609764339e-11,3,340,CPM,Figure 3a,E23
NNC2215,20,10^(-9.3071),4.930602595627944e-10,3,160,CPM,Figure 3a,F23
NNC2215,20,10^(-8.52895),2.9583530399266677e-09,3,87,CPM,Figure 3a,G23
NNC2215,20,10^(-7.7508),1.7750067135006548e-08,3,55,CPM,Figure 3a,H23
NNC2215,20,10^(-6.97265),1.0650009618360135e-07,3,34,CPM,Figure 3a,I23
Human insulin,3,10^(-13),1e-13,1,432,CPM,Figure 3b,B9
Human insulin,3,10^(-12.572),2.679168324819037e-13,1,447,CPM,Figure 3b,C9
Human insulin,3,10^(-11.7938),1.6076814472307171e-12,1,417,CPM,Figure 3b,D9
Human insulin,3,10^(-11.0157),9.644950431350723e-12,1,288,CPM,Figure 3b,E9
Human insulin,3,10^(-10.2375),5.7876198834911967e-11,1,149,CPM,Figure 3b,F9
Human insulin,3,10^(-9.45939),3.472242112130988e-10,1,59,CPM,Figure 3b,G9
Human insulin,3,10^(-8.68124),2.083339269097164e-09,1,44,CPM,Figure 3b,H9
Human insulin,3,10^(-7.90309),1.2499999625598053e-08,1,37,CPM,Figure 3b,I9
Human insulin,3,10^(-13),1e-13,2,442,CPM,Figure 3b,B10
Human insulin,3,10^(-12.572),2.679168324819037e-13,2,458,CPM,Figure 3b,C10
Human insulin,3,10^(-11.7938),1.6076814472307171e-12,2,392,CPM,Figure 3b,D10
Human insulin,3,10^(-11.0157),9.644950431350723e-12,2,287,CPM,Figure 3b,E10
Human insulin,3,10^(-10.2375),5.7876198834911967e-11,2,161,CPM,Figure 3b,F10
Human insulin,3,10^(-9.45939),3.472242112130988e-10,2,66,CPM,Figure 3b,G10
Human insulin,3,10^(-8.68124),2.083339269097164e-09,2,52,CPM,Figure 3b,H10
Human insulin,3,10^(-7.90309),1.2499999625598053e-08,2,62,CPM,Figure 3b,I10
Human insulin,3,10^(-13),1e-13,3,419,CPM,Figure 3b,B11
Human insulin,3,10^(-12.572),2.679168324819037e-13,3,464,CPM,Figure 3b,C11
Human insulin,3,10^(-11.7938),1.6076814472307171e-12,3,423,CPM,Figure 3b,D11
Human insulin,3,10^(-11.0157),9.644950431350723e-12,3,361,CPM,Figure 3b,E11
Human insulin,3,10^(-10.2375),5.7876198834911967e-11,3,162,CPM,Figure 3b,F11
Human insulin,3,10^(-9.45939),3.472242112130988e-10,3,69,CPM,Figure 3b,G11
Human insulin,3,10^(-8.68124),2.083339269097164e-09,3,52,CPM,Figure 3b,H11
Human insulin,3,10^(-7.90309),1.2499999625598053e-08,3,34,CPM,Figure 3b,I11
Human insulin,20,10^(-13),1e-13,1,460,CPM,Figure 3b,B21
Human insulin,20,10^(-12.572),2.679168324819037e-13,1,447,CPM,Figure 3b,C21
Human insulin,20,10^(-11.7938),1.6076814472307171e-12,1,417,CPM,Figure 3b,D21
Human insulin,20,10^(-11.0157),9.644950431350723e-12,1,286,CPM,Figure 3b,E21
Human insulin,20,10^(-10.2375),5.7876198834911967e-11,1,141,CPM,Figure 3b,F21
Human insulin,20,10^(-9.45939),3.472242112130988e-10,1,66,CPM,Figure 3b,G21
Human insulin,20,10^(-8.68124),2.083339269097164e-09,1,39,CPM,Figure 3b,H21
Human insulin,20,10^(-7.90309),1.2499999625598053e-08,1,39,CPM,Figure 3b,I21
Human insulin,20,10^(-13),1e-13,2,449,CPM,Figure 3b,B22
Human insulin,20,10^(-12.572),2.679168324819037e-13,2,427,CPM,Figure 3b,C22
Human insulin,20,10^(-11.7938),1.6076814472307171e-12,2,388,CPM,Figure 3b,D22
Human insulin,20,10^(-11.0157),9.644950431350723e-12,2,293,CPM,Figure 3b,E22
Human insulin,20,10^(-10.2375),5.7876198834911967e-11,2,145,CPM,Figure 3b,F22
Human insulin,20,10^(-9.45939),3.472242112130988e-10,2,66,CPM,Figure 3b,G22
Human insulin,20,10^(-8.68124),2.083339269097164e-09,2,40,CPM,Figure 3b,H22
Human insulin,20,10^(-7.90309),1.2499999625598053e-08,2,25,CPM,Figure 3b,I22
Human insulin,20,10^(-13),1e-13,3,430,CPM,Figure 3b,B23
Human insulin,20,10^(-12.572),2.679168324819037e-13,3,462,CPM,Figure 3b,C23
Human insulin,20,10^(-11.7938),1.6076814472307171e-12,3,448,CPM,Figure 3b,D23
Human insulin,20,10^(-11.0157),9.644950431350723e-12,3,305,CPM,Figure 3b,E23
Human insulin,20,10^(-10.2375),5.7876198834911967e-11,3,151,CPM,Figure 3b,F23
Human insulin,20,10^(-9.45939),3.472242112130988e-10,3,68,CPM,Figure 3b,G23
Human insulin,20,10^(-8.68124),2.083339269097164e-09,3,44,CPM,Figure 3b,H23
Human insulin,20,10^(-7.90309),1.2499999625598053e-08,3,28,CPM,Figure 3b,I23
