treatment,time_h,n,mean,sd,sem
Ciprofloxacin (4X MIC),1,3,770000.0,737495.7626996917,425793.3771208754
Ciprofloxacin (4X MIC),2,3,75333.33333333333,8326.663997864533,4807.401700618653
Ciprofloxacin (4X MIC),4,3,1100.0,1153.2562594670796,665.8328118479394
Ciprofloxacin (4X MIC),8,3,683.3333333333334,401.0403138505322,231.54073315749676
Lolamicin (4X MIC),1,3,540000.0,315119.0251317746,181934.05398660252
Lolamicin (4X MIC),2,3,25000.0,23302.36039546209,13453.624047073712
Lolamicin (4X MIC),4,3,1233.3333333333333,1530.795000427338,883.8049055708569
Lolamicin (4X MIC),8,3,1933.3333333333333,3089.228598426043,1783.5669628895664
Untreated control,1,3,13500000.0,22085062.825357776,12750816.967290109
Untreated control,2,3,26100000.0,42357171.76582969,24454924.52111299
Untreated control,4,3,327333333.3333333,547906318.0264792,316333860.2032845
Untreated control,8,3,1723333333.3333333,1547460284.8969448,893426612.0455061
