molecule,glucose_mM,concentration_M,n,mean,sd
Human insulin,3,1e-13,3,431.0,11.532562594670797
Human insulin,3,2.679168324819037e-13,3,456.3333333333333,8.621678104251714
Human insulin,3,1.6076814472307173e-12,3,410.6666666666667,16.441816606851358
Human insulin,3,9.644950431350723e-12,3,312.0,42.43819034784589
Human insulin,3,5.7876198834911967e-11,3,157.33333333333334,7.234178138070233
Human insulin,3,3.472242112130988e-10,3,64.66666666666667,5.131601439446882
Human insulin,3,2.083339269097164e-09,3,49.333333333333336,4.618802153517006
Human insulin,3,1.2499999625598053e-08,3,44.333333333333336,15.373136743466942
Human insulin,20,1e-13,3,446.3333333333333,15.176736583776272
Human insulin,20,2.679168324819037e-13,3,445.3333333333333,17.559422921421238
Human insulin,20,1.6076814472307173e-12,3,417.6666666666667,30.005555041247494
Human insulin,20,9.644950431350723e-12,3,294.6666666666667,9.609023536933043
Human insulin,20,5.7876198834911967e-11,3,145.66666666666666,5.03322295684717
Human insulin,20,3.472242112130988e-10,3,66.66666666666667,1.1547005383792495
Human insulin,20,2.083339269097164e-09,3,41.0,2.6457513110645907
Human insulin,20,1.2499999625598053e-08,3,30.666666666666668,7.371114795831994
NNC2215,3,1e-13,3,465.6666666666667,11.59022576714248
NNC2215,3,2.282443312173501e-12,3,441.6666666666667,19.087517736293876
NNC2215,3,1.3696197186808022e-11,3,442.0,15.716233645501712
NNC2215,3,8.216748609764338e-11,3,399.3333333333333,8.082903768654768
NNC2215,3,4.930602595627944e-10,3,258.0,9.539392014169456
NNC2215,3,2.9583530399266677e-09,3,131.33333333333334,11.59022576714247
NNC2215,3,1.7750067135006548e-08,3,60.333333333333336,10.785793124908956
NNC2215,3,1.0650009618360136e-07,3,40.666666666666664,1.5275252316519474
NNC2215,20,1e-13,3,451.6666666666667,7.63762615825974
NNC2215,20,2.282443312173501e-12,3,456.0,34.597687784012386
NNC2215,20,1.3696197186808022e-11,3,410.3333333333333,7.5055534994651305
NNC2215,20,8.216748609764338e-11,3,316.0,20.8806130178211
NNC2215,20,4.930602595627944e-10,3,162.66666666666666,5.5075705472861
NNC2215,20,2.9583530399266677e-09,3,82.33333333333333,6.429100507328638
NNC2215,20,1.7750067135006548e-08,3,51.0,3.605551275463989
NNC2215,20,1.0650009618360136e-07,3,36.666666666666664,4.618802153517006
